file,page,context
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,1,"Director Cadillac WWTP 200 North Lake Street Cadillac, Michigan 49601 Dear Mr. Dietlin: SUBJECT: PFAS Source Evaluation and Reduction Requirements You may have heard news recently about perfluoroalkyl and polyfluoroalkyl substances (PFAS, also referred to as PFCs), especially the specific chemicals PFOS (perfluorooctane sulfonate) and PFOA (perfluorooctanoic acid). The Department of Environmental Quality (DEQ), Water Resources Division (WRD), is requiring Wastewater Treatment Plants (WWTP) with Industrial Pretreatment Programs (IPPs) to evaluate potential sources of PFAS, investigate probable sources, reduce/eliminate the sources found, and take other actions to protect surface water quality as needed. Background PFAS are a group of manmade chemicals that have been widely used in industry and"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,1,"ain- and water-resistant treatments for clothing, furniture, and carpeting. Unfortunately, PFAS have been found to have adverse effects in laboratory animals and | humans when ingested. PFAS are also very persistent in the environment and can | bioaccumulate in animal and human tissue. The chemical PFOS in particular, due to its persistence and toxicity, has led to fish consumption advisories for some Michigan rivers. The applicable Water Quality Standard (WQS) (Michigan Rule 57 value) for PFOS is 12 ng/l | (nanograms per liter or parts per trillion) for streams that are not used for drinking water and ; 11 ng! for those that are used as a drinking water source. The applicable WQS for PFOA is | 12,000 ng/l for lakes and streams that are not used for drinking water and 420 ng/l for those used a"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,1,"also very persistent in the environment and can | bioaccumulate in animal and human tissue. The chemical PFOS in particular, due to its persistence and toxicity, has led to fish consumption advisories for some Michigan rivers. The applicable Water Quality Standard (WQS) (Michigan Rule 57 value) for PFOS is 12 ng/l | (nanograms per liter or parts per trillion) for streams that are not used for drinking water and ; 11 ng! for those that are used as a drinking water source. The applicable WQS for PFOA is | 12,000 ng/l for lakes and streams that are not used for drinking water and 420 ng/l for those used as a drinking water source. With some exceptions for limited industrial uses, chemical manufacturers in the United States voluntarily stopped making PFOA and PFOS, but they are still manufactured"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,1,"r source. The applicable WQS for PFOA is | 12,000 ng/l for lakes and streams that are not used for drinking water and 420 ng/l for those used as a drinking water source. With some exceptions for limited industrial uses, chemical manufacturers in the United States voluntarily stopped making PFOA and PFOS, but they are still manufactured in other locations CONSTITUTION HALL + 525 WEST ALLEGAN STREET + P.O. BOX 30242 + LANSING, MICHIGAN 48908-7742 ‘www.michigan.govideq « (517) 284-6651 | |"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"WWTP IPP Program February 20, 2018 Page 2 | around the globe and may be imported through such consumer goods as carpets, paper and packaging, coatings, etc. Itis still legal to use existing stocks of PFOS-containing firefighting foams (Class B) in the US. These persistent chemicals may also be found in factories years after they were used. The DEQ, WRD, has been conducting ambient stream monitoring of PFAS, as well as fish contaminant monitoring for several years. These efforts have led to more targeted point source monitoring in areas where ambient monitoring showed elevated levels of PFAS in surface waters. Recently, elevated PFOS levels in the Flint River led to point source sampling at a WWT"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"used. The DEQ, WRD, has been conducting ambient stream monitoring of PFAS, as well as fish contaminant monitoring for several years. These efforts have led to more targeted point source monitoring in areas where ambient monitoring showed elevated levels of PFAS in surface waters. Recently, elevated PFOS levels in the Flint River led to point source sampling at a WWTP and then to an industrial user (a metal plater) that was found to be the primary source. WRD staff have been working with the WWTP and industrial user to identify and eliminate the | source of the PFOS and address the disposal of accumulated biosolids contaminated with PFOS. The DEQ is investigating this issue on a statewide, multimedia basis. The WRD is collecting ] PFAS effluent data from those WWTPs with the potential to discha"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"rface waters. Recently, elevated PFOS levels in the Flint River led to point source sampling at a WWTP and then to an industrial user (a metal plater) that was found to be the primary source. WRD staff have been working with the WWTP and industrial user to identify and eliminate the | source of the PFOS and address the disposal of accumulated biosolids contaminated with PFOS. The DEQ is investigating this issue on a statewide, multimedia basis. The WRD is collecting ] PFAS effluent data from those WWTPs with the potential to discharge PFOS and PFOA as part | of its routine monitoring and those that discharge to impacted water bodies. In addition to the DEQ’s efforts, we are requiring you to evaluate potential sources within your sewer system. Required Actions | As a WWTP with a required IPP, y"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"int source sampling at a WWTP and then to an industrial user (a metal plater) that was found to be the primary source. WRD staff have been working with the WWTP and industrial user to identify and eliminate the | source of the PFOS and address the disposal of accumulated biosolids contaminated with PFOS. The DEQ is investigating this issue on a statewide, multimedia basis. The WRD is collecting ] PFAS effluent data from those WWTPs with the potential to discharge PFOS and PFOA as part | of its routine monitoring and those that discharge to impacted water bodies. In addition to the DEQ’s efforts, we are requiring you to evaluate potential sources within your sewer system. Required Actions | As a WWTP with a required IPP, you are hereby required to take the following actions to ensure that your"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"ustrial user to identify and eliminate the | source of the PFOS and address the disposal of accumulated biosolids contaminated with PFOS. The DEQ is investigating this issue on a statewide, multimedia basis. The WRD is collecting ] PFAS effluent data from those WWTPs with the potential to discharge PFOS and PFOA as part | of its routine monitoring and those that discharge to impacted water bodies. In addition to the DEQ’s efforts, we are requiring you to evaluate potential sources within your sewer system. Required Actions | As a WWTP with a required IPP, you are hereby required to take the following actions to ensure that your IPP is prohibiting discharges of PFOS or PFOA that would either (1) cause your WWTP to fail to comply with the requirements of the Natural Resources and Environmental P"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"harge to impacted water bodies. In addition to the DEQ’s efforts, we are requiring you to evaluate potential sources within your sewer system. Required Actions | As a WWTP with a required IPP, you are hereby required to take the following actions to ensure that your IPP is prohibiting discharges of PFOS or PFOA that would either (1) cause your WWTP to fail to comply with the requirements of the Natural Resources and Environmental Protection Act, 1994 PA 451, as amended (NREPA) and/or (2) restrict the management of your | biosolids. These actions are required under Part 1.C.1.f.1 and Part 1.C.1.£2 of your National | Pollutant Discharge Elimination System (NPDES) Permit, respectively. For item (1) above, your WWTP would be failing to comply with the NREPA if it is passing through PFOS and/or PFO"
